Datetime,AAPL,ABNB,MSFT,SNAP,UBER
2021-02-18 09:30:00-05:00,130.83999633789062,201.9600067138672,244.1999969482422,62.720001220703125,60.06999969482422
2021-02-18 09:30:03-05:00,129.1999969482422,201.9600067138672,244.1999969482422,62.209999084472656,60.0
2021-02-18 09:30:05-05:00,129.1999969482422,201.9600067138672,244.1999969482422,62.209999084472656,60.0
2021-02-18 09:30:06-05:00,129.1999969482422,201.9600067138672,244.1999969482422,62.209999084472656,60.064998626708984
2021-02-18 09:30:08-05:00,129.22940063476562,201.9600067138672,244.1999969482422,62.399898529052734,59.994998931884766
2021-02-18 09:30:10-05:00,129.24969482421875,201.9600067138672,244.1999969482422,62.399898529052734,59.994998931884766
2021-02-18 09:30:12-05:00,129.24969482421875,199.00999450683594,244.1999969482422,62.399898529052734,60.04999923706055
2021-02-18 09:30:23-05:00,129.20089721679688,199.00999450683594,241.8000030517578,62.439998626708984,60.04999923706055
2021-02-18 09:30:26-05:00,129.20460510253906,199.00999450683594,241.80999755859375,62.439998626708984,60.04999923706055
2021-02-18 09:30:28-05:00,128.92999267578125,199.00999450683594,241.80999755859375,62.439998626708984,59.94499969482422
2021-02-18 09:30:30-05:00,128.77040100097656,199.00999450683594,241.8300018310547,62.439998626708984,60.0099983215332
2021-02-18 09:30:39-05:00,128.92999267578125,198.625,241.8300018310547,62.439998626708984,59.986000061035156
2021-02-18 09:30:42-05:00,128.92999267578125,198.625,241.94000244140625,62.439998626708984,59.97999954223633
2021-02-18 09:30:43-05:00,128.8000030517578,198.625,242.0,62.439998626708984,60.029998779296875
2021-02-18 09:30:46-05:00,128.77020263671875,198.625,242.0,62.439998626708984,60.037498474121094
2021-02-18 09:30:47-05:00,128.77020263671875,198.625,241.94000244140625,62.439998626708984,60.037498474121094
2021-02-18 09:30:49-05:00,129.22000122070312,198.625,241.97999572753906,62.439998626708984,60.037498474121094
2021-02-18 09:30:52-05:00,129.05999755859375,198.625,241.875,62.439998626708984,60.07899856567383
2021-02-18 09:30:56-05:00,129.22000122070312,199.27000427246094,241.72999572753906,62.439998626708984,60.07899856567383
2021-02-18 09:30:58-05:00,129.07000732421875,199.51499938964844,241.89999389648438,62.439998626708984,60.03499984741211
2021-02-18 09:31:01-05:00,129.0800018310547,199.51499938964844,241.89999389648438,62.5,60.060001373291016
2021-02-18 09:31:02-05:00,129.2899932861328,199.50999450683594,241.7698974609375,62.5,60.25
2021-02-18 09:31:03-05:00,129.02000427246094,199.17999267578125,241.75650024414062,62.2400016784668,60.25
2021-02-18 09:31:06-05:00,129.30999755859375,199.51499938964844,241.74000549316406,62.30500030517578,60.25
2021-02-18 09:31:08-05:00,129.02999877929688,199.52000427246094,241.7449951171875,62.314998626708984,60.25
2021-02-18 09:31:10-05:00,129.2899932861328,199.4246063232422,241.91000366210938,62.400001525878906,60.21419906616211
2021-02-18 09:31:12-05:00,129.22000122070312,199.52000427246094,241.86000061035156,62.435001373291016,60.25
2021-02-18 09:31:16-05:00,129.3300018310547,199.28070068359375,241.77999877929688,62.470001220703125,60.25
2021-02-18 09:31:18-05:00,128.8800048828125,199.52000427246094,241.7899932861328,62.55500030517578,60.2400016784668
2021-02-18 09:31:20-05:00,128.8699951171875,199.25,241.85000610351562,62.630001068115234,60.189998626708984
2021-02-18 09:31:22-05:00,129.1510009765625,199.38499450683594,241.8699951171875,62.599998474121094,60.18000030517578
2021-02-18 09:31:24-05:00,129.33999633789062,199.38499450683594,241.89999389648438,62.51499938964844,60.18000030517578
2021-02-18 09:31:26-05:00,129.27999877929688,199.52000427246094,241.88999938964844,62.51499938964844,60.209999084472656
2021-02-18 09:31:27-05:00,129.25,199.4246063232422,241.88999938964844,62.53839874267578,60.209999084472656
2021-02-18 09:31:29-05:00,129.37939453125,199.28070068359375,241.97999572753906,62.53459930419922,60.209999084472656
2021-02-18 09:31:31-05:00,129.33999633789062,199.28070068359375,242.10330200195312,62.54499816894531,60.25
2021-02-18 09:31:33-05:00,129.29849243164062,199.52000427246094,242.00799560546875,62.54499816894531,60.25
2021-02-18 09:31:34-05:00,129.19000244140625,199.25,241.95950317382812,62.58000183105469,60.25
2021-02-18 09:31:37-05:00,129.07730102539062,199.38499450683594,242.0,62.619998931884766,60.209999084472656
2021-02-18 09:31:38-05:00,129.05520629882812,199.38499450683594,241.89999389648438,62.619998931884766,60.209999084472656
2021-02-18 09:31:40-05:00,129.0500030517578,199.45249938964844,241.9199981689453,62.61000061035156,60.209999084472656
2021-02-18 09:31:42-05:00,128.9600067138672,199.44000244140625,241.8800048828125,62.619998931884766,60.224998474121094
2021-02-18 09:31:44-05:00,128.94000244140625,199.42999267578125,241.6649932861328,62.61000061035156,60.224998474121094
2021-02-18 09:31:46-05:00,128.91000366210938,199.42999267578125,241.6649932861328,62.61000061035156,60.169498443603516
2021-02-18 09:31:47-05:00,128.81039428710938,199.52499389648438,241.60499572753906,62.730098724365234,60.169498443603516
2021-02-18 09:31:49-05:00,128.83999633789062,199.00010681152344,241.7698974609375,62.72999954223633,60.13999938964844
2021-02-18 09:31:54-05:00,128.80799865722656,199.02000427246094,241.77999877929688,62.709999084472656,60.16999816894531
2021-02-18 09:31:55-05:00,128.91000366210938,199.42999267578125,241.9199981689453,62.62820053100586,60.1349983215332
2021-02-18 09:31:56-05:00,128.9199981689453,199.42999267578125,241.9398956298828,62.654998779296875,60.1349983215332
2021-02-18 09:31:58-05:00,128.83999633789062,199.42999267578125,241.8000030517578,62.61000061035156,60.02000045776367
